Name,type,images,ratings,about,Best Time,No of votes,state,map
75. Kovalam,temple,https://www.holidify.com/images/bgImages/KOVALAM.jpg,4.2,"Famous for its esorts and ayurvedic massage centre, Kovalam is a coastal town located around 13 km from Thiruvananthapuram in Kerala. The largest beach in Kovalam is the lighthouse beach that features a 30-metre tall lighthouse. The other two adjacent beaches are Samudra beach and Hawa bea.",September to March,181, Kerala  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31576.09226335341!2d76.96227093935336!3d8.400525411431238!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b05a5090a19ec65%3A0xb67f315bc0b762ac!2sKovalam%2C%20Kerala!5e0!3m2!1sen!2sin!4v1641223310998!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
76. Kaziranga National Park,"beach , temple",https://www.holidify.com/images/bgImages/KAZIRANGA-NATIONAL-PARK.jpg,3.7,"Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it .",October to June,64, Assam  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d456695.45619214064!2d92.90600618450159!3d26.586517123066244!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3744412d379f65df%3A0x8b2b74b6e7c99458!2sKaziranga%20National%20Park!5e0!3m2!1sen!2sin!4v1641223284578!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
77. Madikeri,"mausoleum , historial , palace",https://www.holidify.com/images/bgImages/MADIKERI.jpg,4.4,"Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no ..",February to September,94, Karnataka  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31170.195372764618!2d75.71731739110415!3d12.431427484792707!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ba50075627a7fff%3A0xaf8a66ea4651c1a6!2sMadikeri%2C%20Karnataka%20571201!5e0!3m2!1sen!2sin!4v1641223253960!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
78. Matheran,"zoo , palace , museum",https://www.holidify.com/images/bgImages/MATHERAN.jpg,4.3,"Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Math",Throughout the year,211, Maharashtra  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30181.355241216675!2d73.2553534953683!3d18.9902022727298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be7e5566af9569b%3A0x56bade96248a07e6!2sMatheran%2C%20Maharashtra!5e0!3m2!1sen!2sin!4v1641223228146!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
79. Ranthambore,kkkkkk120;,https://www.holidify.com/images/bgImages/RANTHAMBORE.jpg,4.3,"This is one of the best tiger reserves of the country, known to have ""friendly"" tigers and chances of sighting one here is reasonably better than many other tiger reserves of India. Along with this Ranthambore has one of the richest flora and fauna making it an absolutely must visit area",October to Apr,49, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d229551.28193101808!2d76.28510077584416!3d25.97660608096056!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3971d8f668d65517%3A0x6eb9f78b60bac925!2sRanthambore%20National%20Park!5e0!3m2!1sen!2sin!4v1641223202212!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
80. Agartala,"historical , palace",https://www.holidify.com/images/bgImages/AGARTALA.jpg,3.8,"Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture.",Throughout the year,30, Tripura  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d116770.75378805156!2d91.22413664680326!3d23.851077740220365!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3753f40dc94123a7%3A0xd0a1263c6c40c8c7!2sAgartala%2C%20Tripura!5e0!3m2!1sen!2sin!4v1641223160538!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
81. Khandala,"historical , temple",https://www.holidify.com/images/bgImages/KHANDALA.jpg,3.8,"Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls.",Throughout the year,90, Maharashtra  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30221.13820327325!2d73.36423899519677!3d18.76950913091706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be8012af5c2dcbd%3A0x4e9a732d604a9bd9!2sKhandala%2C%20Lonavla%2C%20Maharashtra!5e0!3m2!1sen!2sin!4v1641223135322!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
82. Kalimpong,park ,https://www.holidify.com/images/bgImages/KALIMPONG.jpg,4.1,"Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc.","March to June, September to December",75, West Bengal  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d56847.870490209396!2d88.44214036293523!3d27.062003442872616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x39e421ff94ad4ae1%3A0x1afb5b8db2de1c2f!2sKalimpong%2C%20West%20Bengal!5e0!3m2!1sen!2sin!4v1641223107818!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
83. Thanjavur,fort,https://www.holidify.com/images/bgImages/THANJEVUR.jpg,4.4,"Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples.",October to March,51, Tamil Nadu  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d62716.19183576376!2d79.09634411176995!3d10.75281792872873!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3baab89cea453039%3A0xe113da9b1f632be6!2sThanjavur%2C%20Tamil%20Nadu!5e0!3m2!1sen!2sin!4v1641223081424!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
84. Bhubaneswar,"hill station , temple",https://www.holidify.com/images/bgImages/BHUBANESWAR.jpg,4.2,"Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business.",October to March,87, Orissa  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d119743.53380213732!2d85.75024159383715!3d20.30087015153116!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a1909d2d5170aa5%3A0xfc580e2b68b33fa8!2sBhubaneswar%2C%20Odisha!5e0!3m2!1sen!2sin!4v1641223042984!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
85. Ajmer,zoo,https://www.holidify.com/images/bgImages/AJMER.jpg,3.8,"Surrounded by Aravali ranges, the city of Ajmer is most famous for the Ajmer Sharif Dargah of saint Muin-ud-din Chishti. Located at a distance of 130 km from Jaipur and 14 kms from Pushkar in Rajasthan, the city is firmly bound by its traditions and culture. Ajmer has a unique charm which .",October to March,120, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d114306.4846110285!2d74.56550224066575!3d26.453226042778414!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x396be6d8fcb7cd01%3A0xcbaf8f12eb8100ee!2sAjmer%2C%20Rajasthan!5e0!3m2!1sen!2sin!4v1641222994195!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
86. Aurangabad,"historical , fort",https://www.holidify.com/images/bgImages/AURANGABAD.jpg,3.7,"Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th cent...",October to March,69, Maharashtra  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d240146.45630749158!2d75.16477416176458!3d19.870041241468506!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bdb9815a369bc63%3A0x712d538b29a2a73e!2sAurangabad%2C%20Maharashtra!5e0!3m2!1sen!2sin!4v1641222945373!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
87. Jammu,beach,https://www.holidify.com/images/bgImages/JAMMU.jpg,4.1,"Jammu is the southernmost-part of the union territory of Jammu and Kashmir which sits proudly on the magnificent Shivalik mountain ranges. The Winter Capital of Kashmir, Jammu is a holy and peaceful city known for its majestic temples, religious shrines, glittering ""shikhars"", and cultural heritage....",September to March,63, Jammu & Kashmir  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d214843.25937345056!2d74.71953764927976!3d32.71459594840214!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391e84bf169d3525%3A0xf233488eeb8fd8d!2sJammu!5e0!3m2!1sen!2sin!4v1641222893218!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
88. Dehradun,temple,https://www.holidify.com/images/bgImages/DEHRADUN.jpg,3.9,"Dehradun is the capital city and the largest city of Uttarakhand. Dehradun is located at an altitude of 1400 feet above sea level and has a pleasant climate all year round. Located just 30kms from Mussoorie, Dehradun is known as the gateway to Mussoorie and Rishikesh and Haridwar. Dehradun is also k...",Throughout the year,84, Uttarakhand  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110204.74647492303!2d77.94692326358687!3d30.32540970116701!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390929c356c888af%3A0x4c3562c032518799!2sDehradun%2C%20Uttarakhand!5e0!3m2!1sen!2sin!4v1641222824383!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
89. Puri,"beach , temple , park",https://www.holidify.com/images/bgImages/PURI.jpg,4.3,Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip.,July to March,191, Orissa  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d60059.762690161966!2d85.7864946849449!3d19.80882292112242!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a19c4180256e495%3A0x496a9d8b30c1fad7!2sPuri%2C%20Odisha!5e0!3m2!1sen!2sin!4v1641222788553!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
90. Cherrapunji,temple,https://www.holidify.com/images/bgImages/CHERRAPUNJEE.jpg,4.5,"Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest pla..",September to May,78, Meghalaya  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d28864.08974579217!2d91.71473590104621!3d25.270208062104317!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x37508cd1f80d5647%3A0x1db9015577abfe88!2sCherrapunji%E2%80%8E%2C%20Meghalaya%20793108!5e0!3m2!1sen!2sin!4v1641222761460!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
91. Bikaner,"cave , temple",https://www.holidify.com/images/bgImages/BIKANER.jpg,4.3,"Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, it..",October to March,48, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d112707.23051956405!2d73.24932911911043!3d28.021390108721082!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x393fdd7bd90bbb89%3A0x4ce3121a7664816b!2sBikaner%2C%20Rajasthan!5e0!3m2!1sen!2sin!4v1641222720380!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
92. Shimoga (Shivamogga),temple,https://www.holidify.com/images/bgImages/SHIMOGA.jpg,4.3,"With nature in its full bloom, the town of Shimoga has been home to several great dynasties and kingdoms. Packed with several marvels of nature in the form of picturesque landscape, gorgeous waterfalls, mystical temples and lush green surroundings, its raw beauty will leave you absolutely enchanted....",July to December,45, Karnataka  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d123918.18095203061!2d75.49450336936054!3d13.932198896751792!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bbba8d0ec620495%3A0x5589d733c2761a17!2sShivamogga%2C%20Karnataka!5e0!3m2!1sen!2sin!4v1641222610463!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
93. Hogenakkal,historical ,https://www.holidify.com/images/bgImages/HOGENAKKAL.jpg,4,"Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, o...",October to March,111, Tamil Nadu  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7801.80744383707!2d77.77349349773402!3d12.118739665509079!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3baea2e79f110f11%3A0xf9fcc8ca3dc277df!2sHogenakkal%2C%20Tamil%20Nadu%20636810!5e0!3m2!1sen!2sin!4v1641222545661!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
94. Gir National Park,"temple , park , historical",https://www.holidify.com/images/bgImages/GIR-NATIONAL-PARK.jpg,4.2,"Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spo...",July to March,57, Gujarat  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d59543.82731506974!2d70.78427563944334!3d21.132921083401797!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3be2bfc278812b53%3A0x3408d6d983464baf!2sGir%20National%20Park!5e0!3m2!1sen!2sin!4v1641222488113!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
95. Kasauli,"island , fort",https://www.holidify.com/images/bgImages/KASAULI.jpg,4,"Located on the road from Chandigarh to Shimla, Kasauli is a hilly cantonment town that makes for an ideal peaceful holiday location, especially for a weekend getaway.",Throughout the year,96, Himachal Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27388.302008692!2d76.9503020074041!3d30.89958976527618!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390f88e0ddfe0b27%3A0x2cf1b6ec9befd181!2sKasauli%2C%20Himachal%20Pradesh!5e0!3m2!1sen!2sin!4v1641222428780!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
96. Pushkar,lake,https://www.holidify.com/images/bgImages/PUSHKAR.jpg,3.8,"Pushka is a small temple town located around 15 km from Ajmer in Rajasthan. A perfect choice for a weekend getaway from Jaipur, Pushkar has an array of cafes and hostels for a backpacking trip. Every November, Pushkar is host to the Pushkar Mela, one of the biggest camel fairs in the country.",October to March,90, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14284.160874375872!2d74.53759118164585!3d26.486649881695318!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x396bdd22e5572a2f%3A0xb8733d912fcdf2ea!2sPushkar%2C%20Rajasthan!5e0!3m2!1sen!2sin!4v1641222151466!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
97. Chittorgarh,park ,https://www.holidify.com/images/bgImages/CHITTORGARH.jpg,4.1,"Located in South-Eastern Rajasthan, Chittorgarh is known for Chittorgarh Fort, the largest fort in India built on a hilltop, spreading over an area of around 700 acres. The capital of the erstwhile kingdom of Mewar, the magnificent fortress will always be remembered for the courageous self-sacr..",October to March,51, Rajasthan  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d57900.785895671055!2d74.5864889537632!3d24.904832842280555!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3968a0424d11a8d9%3A0x79f097c869345f8d!2sChittorgarh%2C%20Rajasthan!5e0!3m2!1sen!2sin!4v1641222116782!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
98. Nahan,"palace , historical",https://www.holidify.com/images/bgImages/NAHAN.jpg,3.9,"Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination.",April to September,45, Himachal Pradesh  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13742.479411419848!2d77.28456968280645!3d30.560042705724126!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390f0c0853d80c9b%3A0xdaf447e96e7ae7c3!2sNahan%2C%20Himachal%20Pradesh%20173001!5e0!3m2!1sen!2sin!4v1641222084417!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
99. Lavasa,"park , lake",https://www.holidify.com/images/bgImages/LAVASA.jpg,3.9,"Known as India's newest hill station, the Lavasa Corporation is constructing this private city. The city is a beautiful project, stylistically based on the Italian town Portofino. Spreading across 7 hills, covering an area of 25000 acres, Lavasa is a perfect blend of beauty and infrastructure.",Throughout the year,75, Maharashtra  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15142.605134112015!2d73.49507097980606!3d18.408715398603054!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc29fab4f3879ef%3A0x3ec0a2792791b9bd!2sLavasa%2C%20Maharashtra%20412112!5e0!3m2!1sen!2sin!4v1641222053056!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
100. Poovar,historical ,https://www.holidify.com/images/bgImages/POOVAR.jpg,4.3,"Poovar is a small rustic town situated 27 kms from Thiruvananthapuram with unspoilt, unexplored golden sand beaches and beautiful backwaters of Kerala.",August to March,54, Kerala  India,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15791.210634934278!2d77.05980442715571!3d8.322398954206266!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b05a9082e4ea791%3A0x55e7ec79196c3a0e!2sPoovar%2C%20Kerala%20695525!5e0!3m2!1sen!2sin!4v1641222007661!5m2!1sen!2sin"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy""></iframe>"
