Name,type,image,No of ratings,average rating,about,address
66. Ganga Aarti at Haridwar,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/94/f4/c1/img-20190518-191715-largejpg.jpg?w=500&h=-1&s=1,"2,098",4.5,"Ganga Aarti Means Prayer for the River Ganga. The Ganga is holy river in India. It is worshipped as a goddess. Every day Morning and Evening Ganga Aarti is organised by Ganga Sabha at Har Ki Pauri. Morning and evening time for Aarti is according to Sunset and Sunrise. There is no entry fees or charges for the ceremony. A large number of people gather on both side of the river Ganga to experience and take part in this amazing ceremony. Ganga Lahari Mantra is chanted while making offering to Ganga ""Panchamrut"" anf flowers. Last part of the Ganga Aarti is special Aarti song for river Ganga which pilgrims / visitors can hear through loud speakers. Pandits will be offering Aarti during the song with special copper ""Diya"". During some festivals and busy season like may june overwhelming crowd gather here specially during the evening ceremony. Place to seat is difficult sometimes. It is best to reach at least one hour before the sunset time if you want to find better place.","Haridwar,Uttarakhand 249402 India"
67. Mullayanagiri,Mountains,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6e/54/05/img-20180922-090745-hdr.jpg?w=500&h=400&s=1,"1,598",4.5,"Mullayyanagiri is the highest peak in Karnataka, India. Mullayyanagiri is located in the Chandra Dhrona Hill Ranges of the Western Ghats of Chikkamagaluru Taluk. With a height of 1,925 metres, it is the highest peak in Karnataka and also the highest peak in the Krishna River basin","Subramanya, Chikmagalur 577101 India"
68. Tadiandamol Peak,Mountains,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c2/5b/2b/nature-1-14-largejpg.jpg?w=500&h=400&s=1,129,,"Tadiandamol or Thadiyandamol is the highest mountain of Madikeri taluk Kodagu district, Karnataka, India. It is the third highest peak in Karnataka, after Mullayyanagiri & Kudremukha. It is located Western Ghats range, and reaches an elevation of 1,748 m. The mountain has patches of shola forests in the valleys.","Yevakapadi, Karnataka 571212 India"
69. Mahabaleshwar Hill Station,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ab/40/f8/very-beautiful-hill-station.jpg?w=500&h=-1&s=1,"1,704",4.5," Mahableshwar is the best hill station of Maharashtra. It is situated about 4500 ft. above sea level on the Sahyadri spurs. It was the erstwhile summer capital of Old Bombay Presidency. The tourists are enthralled by its exotic greenery, beautiful gardens & breath-taking scenery. Numerous majestic mansions built during the British days still stand as monuments of the Raj. The favorite season for visiting is from March to June.It is well connected by roads, details are at the bottom of this page.","WJJX+73X, Mahabaleshwar, Maharashtra 412806 India"
70. Beas River,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/46/76/ba/photo2jpg.jpg?w=500&h=-1&s=1,"2,357",4.5,"The Beas River is a river in north India. The river rises in the Himalayas in central Himachal Pradesh, India, and flows for some 470 kilometres to the Sutlej River in the Indian state of Punjab. Its total length is 470 kilometres and its drainage basin is 20,303 square kilometres large.","Amritsar,Himachal Pradesh, Punjab 143202 India"
71. Lal Tibba,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/1b/6d/fe/photo1jpg.jpg?w=500&h=-1&s=1,"1,192",4, Observation deck with a telescope on the roof of a modest cafe known for its views of the Himalayas.Lal Tibba is the highest peak's topmost point and most famous place in Mussoorie. Popular among tourists and travellers for viewing long trails of major,"Lal Tibba Binoculars bazar, Road, Landour, Mussoorie, Uttarakhand 248179 India"
72. Madhya Pradesh Tribal Museum,Natural History Museums • History Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d9/90/ac/img-20190317-wa0012-largejpg.jpg?w=500&h=400&s=1,323,5,"Museum with a collection of tribal clothing, crafts & tools, plus a space for events & performances.","Shyamla Hills Rd, near State Museum, Shymala Hills, Bhopal, Madhya Pradesh 462002 India"
73. Poovar Island,Islands,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/06/e5/68/20160916-072404-largejpg.jpg?w=500&h=400&s=1,"1,296",4.5,"Poovar is a tourist town in Neyyattinkara (tehsil) in the Thiruvananthapuram district of Kerala state, South India. This village is almost at the southern tip of Thiruvananthapuram while the next village, Pozhiyoor, marks the end of Kerala. This village beach attracts tourists throughout the year.","Poovar,Kerala 695525 India"
74. Manikaran Gurudwara,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/47/b3/64/photo0jpg.jpg?w=500&h=-1&s=1,"1,441",4.5,"Manikaran is a pilgrimage centre for Hindus and Sikhs. The Hindus believe that Manu recreated human life in Manikaran after the flood, making it a sacred area. It has many temples and a Gurudwara.[1] There are temples of the Hindu deities Rama, Krishna, and Vishnu.[2] The area is well known for its hot springs[3] and its beautiful landscape.According to legend, when the Hindu God Shiva and his consort Parvati were walking in the valley, Parvati dropped one of her earrings. The jewel was seized by Shesha, the serpent deity, who then disappeared into the earth with it. Shesha only surrendered the jewel when Shiva performed the cosmic dance, the Tandava and shot the jewel up through the water. Apparently, jewels continued to be thrown up in the waters at Manikaran until the 1905 Kangra earthquake.","Hari Har Ghat, Manikaran Rd, Manikaran, Himachal Pradesh 175105 India"
75. Kateel Shri Durgaparameshwari Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a0/a0/eb/swaagata.jpg?w=500&h=-1&s=1,247,4.5,"Shri Durga Parameshwari Temple, Kateel. Kateelu is a temple town in the Dakshina Kannada district of the Indian state of Karnataka.Sacred temple situated by the Nandin River, devoted to the goddess Durga Parameshwari.","Temple Rd, Ullanje, Karnataka 574150"
76. Dhanushkodi Beach Point,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/26/c7/14/photo1jpg.jpg?w=500&h=400&s=1,"1,537",4.5,"Dhanushkodi Beach lies on the tip of the Rameswaram island. In this beach, the Bay of Bengal and Indian Ocean merge which is known as Arichal Munai in Tamil. Before 1964, Dhanushkodi was a busy, crowded city. The Dhanushkodi Beach attracted thousands of tourists each day.","Dhanushkodi Beach Point, Paramakudi, Tamil Nadu, 623707 India"
77. Camel's Back Road,Points of Interest & Landmarks • Hiking Trails,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/30/fa/3a/camel-s-back-road.jpg?w=500&h=400&s=1,829,4,A beautiful peaceful walk under the nature will always boost calmness and inner peace. Camel Back Road provides the same experience in Mussoorie. This 3 km long road is named as Camel Back Rd due to the presence of natural layout of rocks shaped like a camels hump at the end of road.,"The Mall Road, Mussoorie 248179 India"
78. Pandav Leni,Caverns & Caves,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d6/c1/40/complete-view-of-the.jpg?w=500&h=-1&s=1,379,4.5,"The Nasik Caves or Trirashmi Leni, are a group of 23 caves carved between the 1st century BCE and the 3rd century CE, though additional sculptures were added up to about the 6th century, reflecting changes in Buddhist devotional practices","Pandav Lene Rd, Nashik 422010 India"
79. Sri Sai Baba Samadhi Mandir,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/ca/cb/img-20180324-wa0077-largejpg.jpg?w=500&h=-1&s=1,"1,848",4.5,"Shirdi is a popular religious tourist spot with hordes of visitors thronging this place in huge numbers every day. Shirdi is the abode of the great saint “Sai Baba”. The main attraction of Shirdi is the Sai Baba Samadhi Mandir, situated in the heart of the town of Shirdi. Sai Baba’s body has been laid to eternal rest here.","Shirdi, Rahata, Ahmednagar, Maharashtra 423109 India."
80. Alleppey Backwaters,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/5e/59/d4/alleppey-backwater-tour.jpg?w=500&h=400&s=1,"1,210",4,"Referred to as the ‘Venice of the East’, Alleppey (now Alappuzha) is what you call, a true paradise. Adorned with a picture perfect landscape, sparkling rivers, lush greenery, and beautiful freshwater lakes, Alleppey is home to immense natural beauty.","Punnamada, Kottankulangara, Alappuzha, Kerala 688006 India"
81. Kadri Manjunath Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/70/5d/7a/kadri-manjunath-temple.jpg?w=500&h=-1&s=1,422,4.5,"The temple of Manjunatheshwara on the hills of Kadri is said to be built during the 10th or 11th century. It was converted to a complete stone structure during the 14th century. The bronze (panchlauha) idol of Lokeshwar (identified as Brahma), about 5 feet high, of the temple is called as oldest of the South Indian temples","Kadri Temple Rd, Vasanth Vihar, Kadri, Mangaluru, Karnataka 575002 India"
82. British Residency,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b5/00/fd/private-mosque-of-begum.jpg?w=500&h=400&s=1,533,4.5,"The Residency, also called as the British Residency and Residency Complex, is a group of several buildings in a common precinct in the city of Lucknow, Uttar Pradesh, India. It served as the residence for the British Resident General who was a representative in the court of the Nawab. ","Mahatma Gandhi Marg, Deep Manak Nagar, Qaisar Bagh, Lucknow, Uttar Pradesh 226001"
83. Coakers Walk,Scenic Walking Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/75/36/bd/img-20180326-104427-largejpg.jpg?w=500&h=-1&s=1,"1,201",4,Coakers Walk is a beautiful man-made one-kilometre-long walking plaza built on the mountains in the mesmerizing city of Kodaikanal. The lovely path of Coakers Walk that curves by the edge of the gorgeous mountain have been constructed mainly for morning and evening walks.,"Coaker's Walk, Kodaikanal, Tamil Nadu 624101 India"
84. VR Surat,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/29/9b/e8/img-20190120-125153-largejpg.jpg?w=500&h=400&s=1,500,4.5,"VR Surat is a world class shopping destination with over a collection of 100+ premium brands including Zara, Marks & Spencer, Shoppers Stop, Swarovski, MAC Cosmetics, and many more. The Center also boasts several coffee shops and ice cream parlours as well as a 15-kitchen family dining destination called FoodBox. Entertainment options include a multiplex, bowling alley, video game arcade, etc.","Dumas Road Magdalla Town, Surat 395007 India"
85. Nandankanan Zoological Park,Zoos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/d5/07/55/bengal-tiger.jpg?w=500&h=400&s=1,928,4.5,"Nandankanan Zoological Park (Odia is a 437-hectare (1,080-acre) zoo and botanical garden in Bhubaneswar, Odisha, India. Established in 1960, it was opened to the public in 1979 and became the first zoo in India to join World Association of Zoos and Aquariums (WAZA) in 2009. It also contains a botanical garden and part of it has been declared a sanctuary.","Nandankanan Rd Near Police Station, Bhubaneswar 754005 India"
86. Sri Ranganathaswamy Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/7b/60/14/gopuram.jpg?w=500&h=-1&s=1,"1,073",4.5,"Dedicated to Vishnu, the temple of Srirangam's vast complex has seven enclosures formed by huge rampart walls and 21 elaborate towers.","Srirangam 7 km north of Tiruchy, Tiruchirappalli 620006 India"
87. Mahalaxmi Temple,Architectural Buildings,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/04/75/e7/mahalaxmi-temple.jpg?w=500&h=400&s=1,"1,042",4.5,"The Mahalaxmi Temple is one of the most famous temples of the city of Mumbai, India. It is dedicated to Mahalakshmi the central deity of Devi Mahatmyam.The Mahalaxmi temple contains images of the Tridevi goddesses Mahakali, Mahalakshmi, and Mahasaraswati. All three images are adorned with nose rings, gold bangles and pearl necklaces","Mahadwar Road Kolhapur, MH 416012, Kolhapur 416012 India"
88. Sri Chamarajendra Zoological Gardens,Zoos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8f/8d/db/giraffe.jpg?w=500&h=-1&s=1,"3,289",4.5,"Sri Chamarajendra Zoological Gardens, popularly known as ‘Mysuru Zoo’, is one of the oldest zoos of the country established in 1892, by His Highness, the erstwhile Ruler of Mysuru Sri Chamarajendra Wadiyar Bahadur. Mysuru Zoo holds an important place in Karnataka. In 1909 the Palace Zoo was named as Sri Chamarajendra Zoological Gardens to commemorate the illustrious founder and since then it bears the nomenclature. Mysuru Zoo has gradually grown into tourist centre, imparting wildlife values. It has got 123 years of history exhibiting wild animals in the near natural enclosures. Despite majority of the zoos have been shifted from the original place to the new places, Mysuru Zoo could modernize the zoo, without shifting the zoo. The zoo is well compacted unit, with modern animal enclosures including heritage buildings attracting tourists all over the world.","Indiranagar Near Mysore Palace, Mysuru (Mysore) 570010 India"
89. Ellora Caves,Ancient Ruins • Caverns & Caves,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b8/9a/01/pic-47.jpg?w=500&h=-1&s=1,"2,678",4.5,"Spectacular rock cut caves and elaborate sculptures of Hindu, Buddhist and Jain faiths are over 10 centuries old.","Ellora Cave Rd Ahead of Hiranya Reosrts, Aurangabad 431005 India"
90. Umiam Lake,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/b3/91/22/amazing-umium-lake.jpg?w=500&h=400&s=1,971,4.5,"Umiam Lake (locally known as Dam sait) is a reservoir in the hills 15 km (9.3 mi) north of Shillong in the state of Meghalaya, India. It was created by damming the Umiam River in the early 1960s. The principal catchment area of the lake and dam is spread over 225 square km.","north of Shillong in the state of Meghalaya, 793001  India."
91. Vivekananda Rock Memorial,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/94/8f/da/img-20170304-wa0027-largejpg.jpg?w=500&h=400&s=1,"2,293",4.5,"Vivekananda Rock Memorial is a monument and popular tourist attraction in Kanyakumari, India's southernmost tip. The memorial stands on one of two rocks located about 500 meters off mainland of Vavathurai. It was built in 1970 in honour of Swami Vivekananda, who is said to have attained enlightenment on the rock.","Kanyakumari, Tamil Nadu 629702 India"
92. Kappad Beach,Historic Sites • Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d5/18/2b/psx-20170319-125048-largejpg.jpg?w=500&h=400&s=1,419,4.5,"Kappad, or Kappakadavu locally, is a beach near Koyilandy, in the district Kozhikode, Kerala, India. A stone monument installed by government commemorates the ""landing"" by Vasco da Gama with the inscription, '","Isha Yoga Center Semmedu, Coimbatore 641114 India"
93. Dhyanalinga Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/58/71/83/dhyanalinga-temple.jpg?w=500&h=400&s=1,913,4.5,"The Dhyanalinga is set amidst the foothills of the Velliangiri Mountains, the first of its kind to be completed in over 2000 years. This powerful meditative space does not ascribe to any particular faith or belief system nor does it require any ritual, prayer, or worship. In June 1999, Dhyanalinga was consecrated by Sadhguru Jaggi Vasudev, a realized master, mystic and yogi, after three years of intense process of prana prathista (process of energizing an object using one's own life energies). Measuring 13' 9"", Dhyanalinga is the largest mercury-based live linga in the world. All the aspects of life are enshrined in the form of seven chakras, energized to the very peak and locked to prevent dissipation over time. It is expected that the energies of the Dhyanalinga will not suffer dissipation for at least 5000 years. THEERTAKUNDS The Dhyanalinga features two Theerthakunds, which are subterranean tanks with solidified mercury lingas immersed in water, built as preparatory tools to enhance one's spiritual receptivity before entering the Dhyanalinga. The Theerthakunds, are very powerful by themselves. It straightens out the energy or the pranic imbalances in a person, which leads to physical and mental well-being. Above all, it creates a tremendous receptivity to imbibe the energies of Dhyanalinga. They are open for Gents and Ladies from 7:30AM to 8:00PM NADHA ARADHANA An offering of sound to the Dhyanalinga, Nadha Aradhana is an etheric blend of vocals, singing bowls, drums and various other instruments amplified within the reverberating Dome, transporting one into the timeless space of the Dhyanalinga. The offering takes place twice a day, from 11:50 am to 12:10 pm and from 5:50 pm to 6:10 pm. These times are recognized as special sandhya kalas for meditators. ","XPHP+95G, Booluvampatti, Tamil Nadu 641001 India"
94. Nainital Lake,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2e/b4/5d/nainital-lake.jpg?w=500&h=-1&s=1,"2,864",4.5,"Nainital, also known as Naini Lake, is a natural freshwater body, situated amidst the township of Nainital in Kumaon. It is tectonic in origin and is kidney shaped or crescent shaped and has an outfall at the southeastern end. Nainital, along with other lakes of Kumaon, is integral to tourism and recreation in Kumaon.","Naini Lake, The Mall Road, Nainital, Uttarakhand 263001 India"
95. Shree Mahakaleshwar Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/46/95/1d/shri-mahakaleshwar-temple.jpg?w=500&h=400&s=1,"1,181",4,"Mahakaleshwar Jyotirlinga is a Hindu temple dedicated to Shiva and is one of the twelve Jyotirlingams, shrines which are said to be the most sacred abodes of Shiva. It is located in the ancient city of Ujjain in the state of Madhya Pradesh, India. The temple is situated on the side of the holy river Shipra.","Jaisinghpura, Ujjain, Madhya Pradesh 456006 India"
96. HiLite Mall,Factory Outlets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/dc/d4/25/hilite-mall-ariel-view.jpg?w=500&h=400&s=1,75,4.5,HiLITE Mall is a shopping mall located in the city of Kozhikode in the Malabar region of Kerala. It is the third largest mall in kerala and 7th largest in india. HiLITE Mall is located in Palazhi bypass junction on the National Highway 66 bypass where the bypass meets Pottammal - Palazhi road.,"East Car Street, Chidambaram Vijay Gems, 608001 India"
97. Chidambaram Nataraja Temple,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/80/f6/19/chidambaram-nataraja.jpg?w=500&h=-1&s=1,251,4.5,"Thillai Nataraja Temple, also referred as the Chidambaram Nataraja temple, is a Hindu Temple dedicated to Lord Nataraja is one of the form of Lord Shiva as the lord of dance and his consort Parvati as Shivakama Sundari","Chidambaram, Tamil Nadu 608001 India"
98. Kerala Kathakali Centre,Educational sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bf/2d/63/bhima-and-bakasura-bhima.jpg?w=500&h=400&s=1,"2,051",4,"Founded in 1990, this traditional arts center presents masked Kathakali dance shows & martial arts.","Cheel ka Teela, Jaipur 302013 India"
99. Jaigarh Fort,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/06/25/d9/jaigarh-fort.jpg?w=500&h=-1&s=1,"2,274",4.5,"Jaigarh Fort is situated on the promontory called the Cheel ka Teela of the Aravalli range; it overlooks the Amer Fort and the Maota Lake, near Amer in Jaipur, Rajasthan, India. The fort was built by Jai Singh II in 1726 to protect the Amer Fort and its palace complex and was named after him.","XRJV+JWJ, Devisinghpura, Amer, Jaipur, Rajasthan 302028 India"
100. Takht Sri Harmandir Sahib Ji,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3b/9e/f4/takht-sri-harmandir-sahib.jpg?w=500&h=-1&s=1,343,4.5,"Takht Sri Patna Sahib also known as Takhat Sri Harimandir Ji, is a Gurdwara in the neighbourhood of Patna Sahib, India. It was to commemorate the birthplace of Guru Gobind Singh, the tenth Guru of the Sikhs on December 1666","Takhat Sri Harmandir ji, Patna Sahib, Patna, Bihar 800008 India"
